,AX,BX,NX,EX,EPX,Element,Length,Value,s(m),AY,BY,NY,EY,EPY,DetR,#,DX,DPX,DY,DPY,BeamSizeXm,BeamSizeYm
BPH2,-3.7487,81.5206,0.02091,0.94183,0.07196,BPH2,0.6,0.0,7.202626,-1.1854,12.7063,0.16651,-0.00056,0.0,0.0,11.0,-0.0003,3.2e-05,0.00033,7.8e-05,0.004560819874674593,0.0018223165927842915
LFT05,-3.8595,86.0856,0.02204,0.98498,0.07196,LFT05,0.35374,0.3537362,7.802626,-1.299,14.197,0.17362,-0.00061,1.3e-12,0.0,12.0,-0.0003,5.9e-05,0.00038,7.8e-05,0.004690207847260178,0.0019262520216183929
ESM02,-3.9249,88.8393,0.02269,1.01042,0.07196,ESM02,0.0,0.0,8.156362,-1.366,15.1397,0.17746,-0.00064,1.3e-12,0.0,13.0,-0.0002,5.9e-05,0.0004,7.8e-05,0.004766592375381298,0.001989179784887582
LFT06,-3.9249,88.8393,0.02269,1.01042,0.07196,LFT06,0.14761,0.1476076,8.156362,-1.366,15.1397,0.17746,-0.00064,1.3e-12,0.0,14.0,-0.0002,5.9e-05,0.0004,7.8e-05,0.004766592375381298,0.001989179784887582
SSEM02,-3.9521,90.002,0.02295,1.02103,0.07196,SSEM02,0.0,0.0,8.30397,-1.3939,15.5471,0.17899,-0.00065,1.3e-12,0.0,15.0,-0.0002,5.9e-05,0.00042,7.8e-05,0.00479848782989895,0.002015765659356342
LFT07,-3.9521,90.002,0.02295,1.02103,0.07196,LFT07,0.64851,0.6485108,8.30397,-1.3939,15.5471,0.17899,-0.00065,1.3e-12,0.0,16.0,-0.0002,5.9e-05,0.00042,7.8e-05,0.00479848782989895,0.002015765659356342
QPQ1,-4.0719,95.2057,0.02407,1.06767,0.07196,QPQ1,3.0,0.1696336,8.952481,-1.5167,17.4347,0.18526,-0.0007,1.3e-12,0.0,17.0,-0.0002,5.9e-05,0.00047,7.8e-05,0.004938763105502201,0.00213463113339837
LFT08,10.2335,72.7814,0.02933,1.00521,-0.11171,LFT08,1.59986,1.5998577,11.952481,-8.1899,42.4488,0.20439,-0.00118,-0.00015,2e-17,18.0,-3e-05,5.1e-05,0.00074,0.00011,0.004332484146186872,0.0033308154800263455
QPQ2,7.9095,43.7552,0.03384,0.82641,-0.11171,QPQ2,3.0,-0.1893406,13.552338,-10.755,72.7591,0.20897,-0.0016,-0.00015,1e-17,19.0,5.6e-05,5.1e-05,0.00092,0.00011,0.0033686471135644623,0.004360765545778107
LFT09,0.7263,21.8469,0.05082,0.70445,0.02673,LFT09,0.41418,0.4141757,16.552338,5.25366,93.3126,0.21423,-0.00172,0.000184,2e-16,20.0,0.00028,0.0001,0.0011,-9e-06,0.0024044211535259622,0.004938414446899792
ESM03,0.69734,21.2572,0.05388,0.71548,0.02673,ESM03,0.0,0.0,16.966514,5.12671,89.0133,0.21496,-0.00164,0.000184,2e-16,21.0,0.00032,0.0001,0.0011,-9e-06,0.0023758720936580976,0.004823298486733427
LFT10,0.69734,21.2572,0.05388,0.71548,0.02673,LFT10,0.14823,0.1482295,16.966514,5.12671,89.0133,0.21496,-0.00164,0.000184,2e-16,22.0,0.00032,0.0001,0.0011,-9e-06,0.0023758720936580976,0.004823298486733427
SSEM03,0.68698,21.052,0.055,0.71943,0.02673,SSEM03,0.0,0.0,17.114744,5.08128,87.5002,0.21522,-0.00161,0.000184,2e-16,23.0,0.00033,0.0001,0.0011,-9e-06,0.0023658588375692776,0.004782124585971157
LFT11,0.68698,21.052,0.055,0.71943,0.02673,LFT11,0.58722,0.5872163,17.114744,5.08128,87.5002,0.21522,-0.00161,0.000184,2e-16,24.0,0.00033,0.0001,0.0011,-9e-06,0.0023658588375692776,0.004782124585971157
BPD1,0.64592,20.2693,0.05952,0.73506,0.02673,BPD1,3.00014,0.033547,17.70196,4.90129,81.6383,0.21633,-0.00149,0.000184,2e-16,25.0,0.0004,0.0001,0.0011,-9e-06,0.002327289231235408,0.004619151182471221
LFT12,0.43619,17.0235,0.08533,0.86546,0.06028,LFT12,0.53718,0.5371789,20.702101,4.00198,54.9118,0.22346,-0.00091,0.000185,-2e-14,26.0,0.0005,-4e-05,0.001,-1e-05,0.0021711875318818187,0.0037882688456177386
ESM04,0.39863,16.575,0.09042,0.89786,0.06028,ESM04,0.0,0.0,21.23928,3.83552,50.7016,0.22508,-0.00081,0.000185,-2e-14,27.0,0.00048,-4e-05,0.001,-1e-05,0.002151174118161942,0.003640134310948295
LFT13,0.39863,16.575,0.09042,0.89786,0.06028,LFT13,0.66362,0.6636177,21.23928,3.83552,50.7016,0.22508,-0.00081,0.000185,-2e-14,28.0,0.00048,-4e-05,0.001,-1e-05,0.002151174118161942,0.003640134310948295
BPD2,0.35224,16.0767,0.0969,0.93789,0.06028,BPD2,3.00014,0.0331655,21.902897,3.62988,45.7475,0.22728,-0.00068,0.000185,-2e-14,29.0,0.00045,-4e-05,0.001,-1e-05,0.0021293177012781843,0.003457703296381574
LFT14,0.14251,14.5927,0.12827,1.16846,0.09345,LFT14,0.76684,0.7668429,24.903035,2.70946,26.7181,0.24095,-9.1e-05,0.000186,2e-13,30.0,0.00045,3.4e-05,0.001,-1e-05,0.0020836421824767777,0.0026423652087521963
ESM05,0.08889,14.4153,0.13669,1.2401,0.09345,ESM05,0.0,0.0,25.669878,2.47005,22.7462,0.2459,5.92e-05,0.000186,2e-13,31.0,0.00048,3.4e-05,0.00099,-1e-05,0.0020866874205064333,0.0024380572621288473
LFT15,0.08889,14.4153,0.13669,1.2401,0.09345,LFT15,0.14861,0.1486059,25.669878,2.47005,22.7462,0.2459,5.92e-05,0.000186,2e-13,32.0,0.00048,3.4e-05,0.00099,-1e-05,0.0020866874205064333,0.0024380572621288473
SSEM04,0.0785,14.3904,0.13833,1.25398,0.09345,SSEM04,0.0,0.0,25.818484,2.42366,22.019,0.24696,8.82e-05,0.000186,2e-13,33.0,0.00048,3.4e-05,0.00099,-1e-05,0.0020878767781505264,0.002398772289487958
LFT16,0.0785,14.3904,0.13833,1.25398,0.09345,LFT16,0.186,0.186,25.818484,2.42366,22.019,0.24696,8.82e-05,0.000186,2e-13,34.0,0.00048,3.4e-05,0.00099,-1e-05,0.0020878767781505264,0.002398772289487958
CT02,0.06549,14.3636,0.14039,1.27136,0.09345,CT02,0.0,0.0,26.004484,2.36559,21.1282,0.24833,0.000125,0.000186,2e-13,35.0,0.00049,3.4e-05,0.00099,-1e-05,0.0020896415198841693,0.002349756579794293
LFT17,0.06549,14.3636,0.14039,1.27136,0.09345,LFT17,4.11797,4.1179729,26.004484,2.36559,21.1282,0.24833,0.000125,0.000186,2e-13,36.0,0.00049,3.4e-05,0.00099,-1e-05,0.0020896415198841693,0.002349756579794293
SSEM05,-0.22243,15.0099,0.18563,1.65604,0.09345,SSEM05,0.0,0.0,30.122456,1.08,6.93934,0.30356,0.000929,0.000186,2e-13,37.0,0.00063,3.4e-05,0.00095,-1e-05,0.0022074131957782843,0.0013468091731655741
LFT18,-0.22243,15.0099,0.18563,1.65604,0.09345,LFT18,2.41079,2.4107871,30.122456,1.08,6.93934,0.30356,0.000929,0.000186,2e-13,38.0,0.00063,3.4e-05,0.00095,-1e-05,0.0022074131957782843,0.0013468091731655741
SSEM06,-0.39099,16.4887,0.21012,1.88125,0.09345,SSEM06,0.0,0.0,32.533244,0.32737,3.54646,0.38433,0.0014,0.000186,2e-13,39.0,0.00071,3.4e-05,0.00092,-1e-05,0.0023427084335180736,0.0009629662365077318
LFT19,-0.39099,16.4887,0.21012,1.88125,0.09345,LFT19,0.14668,0.1466786,32.533244,0.32737,3.54646,0.38433,0.0014,0.000186,2e-13,40.0,0.00071,3.4e-05,0.00092,-1e-05,0.0023427084335180736,0.0009629662365077318
ESM06,-0.40124,16.6049,0.21153,1.89495,0.09345,ESM06,0.0,0.0,32.679922,0.28158,3.45714,0.39099,0.00143,0.000186,2e-13,41.0,0.00071,3.4e-05,0.00092,-1e-05,0.0023523659757149766,0.0009507716079970627
